numTrees,maxDepth,maxBins,minInstancesPerNode,RMSE
50,5,32,1,0.6286959992947204
50,5,32,2,0.633790022905206
50,5,64,1,0.6311400366792878
50,5,64,2,0.6323959537763701
50,10,32,1,0.39480876746536103
50,10,32,2,0.42293557345409694
50,10,64,1,0.39055681459661035
50,10,64,2,0.4365447570429672
50,15,32,1,0.38323478469655275
50,15,32,2,0.4149628331217993
50,15,64,1,0.3779966003842101
50,15,64,2,0.42894415924370866
100,5,32,1,0.6574015951771705
100,5,32,2,0.6467901391381504
100,5,64,1,0.6475967731574716
100,5,64,2,0.6469061745027563
100,10,32,1,0.39913666641391865
100,10,32,2,0.42831028848273683
100,10,64,1,0.39833346698317623
100,10,64,2,0.4146250395079372
100,15,32,1,0.38579517724753604
100,15,32,2,0.4194222599977641
100,15,64,1,0.3849334371918712
100,15,64,2,0.4060393103000907
150,5,32,1,0.6123313177228865
150,5,32,2,0.6469612589838905
150,5,64,1,0.6434885257182635
150,5,64,2,0.6465918572416555
150,10,32,1,0.39406580288622095
150,10,32,2,0.42899006460841127
150,10,64,1,0.40977551490297387
150,10,64,2,0.4346794820781508
150,15,32,1,0.383824360084577
150,15,32,2,0.41772911080717856
150,15,64,1,0.39776579303402243
150,15,64,2,0.4251879438165374
50,15,64,1,0.2680451938767035
